Operation|Order.CONN|Order.Validation|PriceService.Out|Order.Execution_|Order.ExecutionReport_CONN
1201271044768|09:39:17,860|09:39:18,153|09:39:18,412|09:39:19,193|
1201271044789|09:39:17,952|09:39:18,943|09:39:19,455|09:39:20,510|09:39:29,347
1201271044800|09:39:18,157|09:39:19,285|09:39:19,769|09:39:20,536|09:39:25,170
1201271044831|09:39:18,771|09:39:19,762|09:39:19,871|09:39:20,806|09:39:23,848
1201271044862|09:39:19,161|09:39:20,114|09:39:20,569|09:39:21,084|
1201271044883|09:39:19,733|09:39:20,557|09:39:20,756|09:39:21,809|09:39:30,269
1201271044904|09:39:20,251|09:39:21,091|09:39:21,348|09:39:22,674|09:39:27,664
1201271044925|09:39:20,982|09:39:22,569|09:39:23,025|09:39:24,383|
1201271044966|09:39:21,747|09:39:23,012|09:39:23,060|09:39:24,525|09:39:30,862
1201271044987|09:39:22,778|09:39:23,570|09:39:23,640|09:39:24,780|
1201271045008|09:39:23,661|09:39:24,615|09:39:25,146|09:39:26,646|09:39:30,972
1201271045039|09:39:23,875|09:39:25,459|09:39:25,532|09:39:26,310|
1201271045050|09:39:24,185|09:39:24,985|09:39:25,397|09:39:26,882|
1201271045071|09:39:24,813|09:39:25,462|09:39:25,620|09:39:26,698|
1201271045092|09:39:25,490|09:39:25,843|09:39:26,113|09:39:26,937|09:39:31,697
1201271045113|09:39:25,639|09:39:26,349|09:39:27,022|09:39:27,578|09:39:31,834
1201271045134|09:39:25,749|09:39:26,310|09:39:26,388|09:39:26,961|09:39:30,228
1201271045155|09:39:26,010|09:39:26,955|09:39:27,182|09:39:27,569|
1201271045176|09:39:26,779|09:39:27,910|09:39:27,995|09:39:28,458|09:39:32,527
1201271045197|09:39:28,022|09:39:28,527|09:39:28,977|09:39:29,417|09:39:34,326
1201271045228|09:39:28,309|09:39:28,893|09:39:29,162|09:39:29,740|09:39:33,610
1201271045249|09:39:28,815|09:39:29,653|09:39:29,714|09:39:30,144|
1201271045260|09:39:29,636|09:39:30,135|09:39:30,337|09:39:30,703|09:39:34,382
1201271045281|09:39:29,841|09:39:30,628|09:39:30,790|09:39:31,328|09:39:34,909
1201271045302|09:39:30,658|09:39:31,040|09:39:31,176|09:39:31,442|
1201271045323|09:39:31,060|09:39:31,506|09:39:31,598|09:39:31,909|
1201271045344|09:39:31,750|09:39:31,911|09:39:32,039|09:39:32,475|
1201271045415|09:39:31,892|09:39:32,195|09:39:32,279|09:39:32,550|
1201271045436|09:39:32,218|09:39:32,762|09:39:32,832|09:39:33,425|
1201271045467|09:39:32,387|09:39:33,001|09:39:33,078|09:39:33,466|
1201271045508|09:39:33,098|09:39:33,552|09:39:33,780|09:39:34,343|
